,attendance,entry_mode,id,scheduled,status,utc_offset,weather
173,76210,INGEST,b3f7e421-f77b-4b6e-b63d-fe9014920537,2007-11-25T18:02:38+00:00,closed,-6,
174,65423,INGEST,e4400e28-16c6-4543-9a74-a05985cf5b0a,2007-11-25T18:03:40+00:00,closed,-6,
175,65596,INGEST,eecb875a-3541-4482-996b-ea65a718ccff,2007-11-25T18:02:44+00:00,closed,-5,
176,62996,INGEST,072c0c09-abfa-4a8b-8bfd-b16311052199,2007-12-02T18:02:56+00:00,closed,-6,
177,69143,INGEST,2372bf0a-61ae-45ab-a2a3-042ee8bc60e1,2007-12-02T18:02:38+00:00,closed,-6,
178,71109,INGEST,3ebbb6c6-1aff-4aae-8bfb-6d1f84a8b845,2007-12-02T18:03:13+00:00,closed,-5,
179,85831,INGEST,5bd2a25d-c1a5-4e9c-a668-4af344a809cf,2007-12-02T18:02:56+00:00,closed,-5,
180,70009,INGEST,61b6f2df-2e93-4de1-a329-029b48faf74f,2007-12-02T21:15:45+00:00,closed,-6,
181,62051,INGEST,6628ad6d-b0e3-408f-b7cd-6a9192b407d9,2007-12-02T18:03:21+00:00,closed,-6,
182,74874,INGEST,6dfeb3f2-29eb-40eb-95a9-844f97775a71,2007-12-02T18:02:58+00:00,closed,-6,
183,71382,INGEST,73c1eca0-941d-4d7a-9f7a-1f06c672bbaa,2007-12-04T01:42:03+00:00,closed,-5,
184,64167,INGEST,77c09d9c-4487-42e9-a8df-84b0cd951a44,2007-11-30T01:17:22+00:00,closed,-6,
185,62244,INGEST,864391fd-fa86-4d08-9671-8efd54be6b9c,2007-12-02T21:15:57+00:00,closed,-6,
186,64791,INGEST,956bc7a4-abb2-4e04-876a-ba05fe883acf,2007-12-02T21:05:38+00:00,closed,-7,
187,61990,INGEST,b22ca6df-9567-41c9-9263-0ad25d901e68,2007-12-02T21:06:07+00:00,closed,-8,
188,73191,INGEST,b5217e3c-8844-4d59-963e-14ade5f62f91,2007-12-02T18:03:15+00:00,closed,-5,
189,68445,INGEST,cada4244-0806-4cb6-bf1b-ae285717df7a,2007-12-02T18:03:24+00:00,closed,-5,
190,58842,INGEST,f8a84941-46ff-4c39-b390-c738d535f75f,2007-12-03T01:25:25+00:00,closed,-5,
191,57302,INGEST,ff1ac78b-d155-45e4-a0a0-d3db8f29753b,2007-12-02T18:02:56+00:00,closed,-5,
192,82213,INGEST,0d31ebfa-7f94-4040-bf8f-4a5e794dbd4a,2007-12-07T01:16:16+00:00,closed,-5,
193,69143,INGEST,15032ec1-3307-47a6-b971-18d1143b8d43,2007-12-09T18:02:45+00:00,closed,-6,
194,70513,INGEST,22b3ce5a-d627-4bf5-8fe2-3628fae94cb3,2007-12-10T01:24:37+00:00,closed,-5,
195,75895,INGEST,2e3e2d9d-2268-454f-ab22-e5e7aff4fc00,2007-12-09T21:15:55+00:00,closed,-7,
196,70828,INGEST,4ce2b9f9-e5ed-4719-951e-4b0d7236d5f2,2007-12-09T18:03:16+00:00,closed,-6,
197,68594,INGEST,58a4735c-dab3-4435-bde5-5e09f7f946b4,2007-12-09T18:03:03+00:00,closed,-5,
198,70237,INGEST,5f98bfd9-d5c2-48fa-9f13-51ff08d8e654,2007-12-09T18:02:23+00:00,closed,-6,
199,66090,INGEST,6101cb0d-43c3-45a4-be16-b78e4f46acd4,2007-12-09T18:03:15+00:00,closed,-5,
200,76822,INGEST,728d4738-b68d-46c8-8a9e-4c3763d8213f,2007-12-09T21:15:36+00:00,closed,-5,
201,68050,INGEST,7ca4a3f2-29a4-4370-aa7b-9ed8938b64e7,2007-12-09T21:04:53+00:00,closed,-8,
202,65143,INGEST,abd86acf-961a-43bb-b233-a387c8194b80,2007-12-09T18:02:18+00:00,closed,-5,
203,69553,INGEST,c113f761-8a33-4606-b70c-3283e4b4d13c,2007-12-11T01:40:39+00:00,closed,-5,
204,68756,INGEST,c2af54cc-f7b8-4af6-bdc0-b28530eeee22,2007-12-09T21:17:25+00:00,closed,-5,
205,68193,INGEST,c4cca9fb-cb48-4694-9515-dee076c84af7,2007-12-09T21:06:10+00:00,closed,-8,
206,62759,INGEST,dc5e567d-169f-43c4-af00-bf247f60668c,2007-12-09T18:03:20+00:00,closed,-5,
