,attendance,entry_mode,id,number,reference,scheduled,status,utc_offset,weather
161,69661,INGEST,1fb5ee2f-e462-426e-871f-1c1cd66b6d26,166,55669,2012-11-25T18:02:42+00:00,closed,-5,
162,51295,INGEST,56bb0617-5acf-4f91-a42d-2d9d45434426,170,55673,2012-11-25T18:03:00+00:00,closed,-5,
163,79088,INGEST,5a1dea8c-a3d7-4b80-a348-84728332f6f6,163,55666,2012-11-23T01:30:59+00:00,closed,-5,
164,54400,INGEST,760c7e7e-d20c-4dd1-a416-4ddd49cb5119,171,55674,2012-11-25T18:02:54+00:00,closed,-5,
165,90166,INGEST,7f8d78e0-0d6f-4a6f-917f-6983e1fd8d5e,162,55665,2012-11-22T21:41:40+00:00,closed,-6,
166,63323,INGEST,8955d925-41a1-43c3-b642-39a3ba1e3000,168,55671,2012-11-25T18:03:07+00:00,closed,-5,
167,73147,INGEST,9ff6957e-cd97-4e03-a5d0-794dca1543b2,174,55677,2012-11-25T21:25:43+00:00,closed,-6,
168,60062,INGEST,a57d29bd-8f26-47c7-b24d-5b5ceba1a853,173,55676,2012-11-25T21:26:12+00:00,closed,-7,
169,69144,INGEST,b9fe77e6-2890-4ffc-8af1-12a8e22500e8,176,55679,2012-11-27T01:40:23+00:00,closed,-5,
170,64827,INGEST,be31f41a-69e1-4cf9-9278-a14716825ff6,161,55664,2012-11-22T17:39:01+00:00,closed,-5,
171,62306,INGEST,c035cfde-f3b8-4038-8810-32624cf5f445,164,55667,2012-11-25T18:03:10+00:00,closed,-6,
172,57882,INGEST,c49c7899-420b-4625-a0fc-61a1049d5922,172,55675,2012-11-25T21:06:15+00:00,closed,-8,
173,56503,INGEST,cbbd12e0-801c-4786-9706-e8f9d3055298,165,55668,2012-11-25T18:02:39+00:00,closed,-5,
174,80365,INGEST,db3d08dc-c2e9-4e83-bfef-1a442b36a889,175,55678,2012-11-26T01:30:42+00:00,closed,-5,
175,64366,INGEST,ee1f9484-eaf0-429f-a57c-a7c085c2ec1a,167,55670,2012-11-25T18:03:44+00:00,closed,-5,
176,80246,INGEST,081ce725-8b29-434f-a328-eff8f1831584,192,55695,2012-12-04T01:40:22+00:00,closed,-5,
177,69143,INGEST,183cef2e-5871-4052-811f-abdf0a182a2a,186,55689,2012-12-02T18:02:47+00:00,closed,-6,
178,53971,INGEST,2cd35039-ba77-47e5-b957-9edef9fcf5a5,178,55681,2012-12-02T18:03:01+00:00,closed,-5,
179,79088,INGEST,438931f2-bcde-476b-b00a-8d9e4474c8b1,184,55687,2012-12-02T18:03:27+00:00,closed,-5,
180,63887,INGEST,4e264c9a-353e-42cb-ac09-6186f74cbe2e,180,55683,2012-12-02T18:03:04+00:00,closed,-5,
181,72114,INGEST,6a7e4ea1-886b-4b7f-93b4-13f4be468a5b,183,55686,2012-12-02T18:02:59+00:00,closed,-5,
182,70567,INGEST,7c61d74e-0e99-4224-a004-4eeecceb81b3,181,55684,2012-12-02T18:02:43+00:00,closed,-6,
183,43641,INGEST,7e04e3d6-2185-47da-890e-9f6dbddc50c5,189,55692,2012-12-02T21:25:33+00:00,closed,-8,
184,71442,INGEST,85c8a7ab-dd06-4d0e-af57-1bab3052b90f,188,55691,2012-12-02T21:27:24+00:00,closed,-5,
185,70514,INGEST,a2e1d22b-af19-4b01-9603-a0619945d86e,177,55680,2012-11-30T01:29:57+00:00,closed,-5,
186,54980,INGEST,afb21bff-f0a7-42e9-ba83-628d9b7b58f1,190,55693,2012-12-02T21:25:48+00:00,closed,-8,
187,62264,INGEST,bf3d482a-b379-47e0-98f8-8cc454c79d2f,179,55682,2012-12-02T18:03:10+00:00,closed,-6,
188,62860,INGEST,c1759708-0f16-4c7c-bff8-a700bbff9237,182,55685,2012-12-02T18:03:30+00:00,closed,-6,
189,57279,INGEST,c292a1f8-b13f-4b3b-868c-f44b4227aba0,185,55688,2012-12-02T18:03:09+00:00,closed,-6,
